,Team,Date,Big Chances,Total Shots,Shots on Target,Big Chances Scored,Final Third Entries,Touches in Penalty Area,Final Result,Wins,Draws,Wins_Last_5,Goals_Last_5,Conceded_Last_5,GD_Last_5,Big Chances EMA 5,Total Shots EMA 5,Shots on Target EMA 5,Big Chances Scored last 5,Final Third Entries last 5,Touches in Penalty Area EMA 5,Touches in Penalty Area last 5
0,Afghanistan,2025-06-10,,10.0,7.0,,,12.0,A,0,0,,,,,,,,,,,
1,Afghanistan,2025-08-29,,,,,,,H,0,0,,,,,,,,,,12.0,12.0
2,Afghanistan,2026-03-31,,4.0,3.0,,,6.0,H,0,0,,,,,,,,,,12.0,8.0
3,Albania,2020-11-15,5.0,18.0,11.0,2.0,49.0,,H,1,0,,,,,,,,,,,
4,Albania,2020-11-18,3.0,10.0,4.0,2.0,40.0,,H,1,0,,,,,,,,2.0,49.0,,
5,Albania,2021-06-05,,2.0,0.0,,,,D,0,1,,,,,,,,3.3333333333333335,72.66666666666667,,
6,Albania,2021-09-02,0.0,12.0,4.0,0.0,61.0,,H,0,0,,,,,,10.0,5.0,2.2222222222222228,48.44444444444445,,
7,Albania,2021-09-05,3.0,15.0,3.0,,60.0,,H,1,0,,,,,2.6666666666666665,10.5,4.75,1.481481481481482,93.2962962962963,,
8,Albania,2021-10-12,0.0,6.0,1.0,0.0,52.0,,A,0,0,3.0,8.0,7.0,1.0,2.75,11.4,4.4,0.9876543209876548,122.19753086419755,,
9,Albania,2021-11-12,1.0,5.0,4.0,0.0,18.0,,H,0,0,2.0,5.0,7.0,-2.0,1.5,9.0,2.4,0.65843621399177,133.4650205761317,,
10,Albania,2023-10-17,,9.0,5.0,,,,H,1,0,1.0,2.0,10.0,-8.0,1.0,8.0,2.4,0.4389574759945134,106.97668038408781,,
11,Albania,2023-11-17,1.0,10.0,4.0,1.0,46.0,,D,0,1,2.0,4.0,10.0,-6.0,1.0,9.4,3.4,0.29263831732967566,71.31778692272522,,
12,Albania,2024-06-07,,11.0,5.0,,,,H,1,0,2.0,4.0,7.0,-3.0,1.25,9.0,3.4,1.195092211553117,93.54519128181681,,
13,Albania,2024-06-19,4.0,15.0,7.0,2.0,28.0,19.0,D,0,1,2.0,6.0,8.0,-2.0,0.6666666666666666,8.2,3.8,0.7967281410354115,62.36346085454455,,
14,Albania,2024-10-11,0.0,7.0,2.0,0.0,39.0,10.0,H,0,0,2.0,8.0,9.0,-1.0,2.0,10.0,5.0,2.5311520940236076,69.57564056969636,19.0,19.0
15,Albania,2024-11-16,0.0,9.0,2.0,,40.0,6.0,D,0,1,2.0,8.0,6.0,2.0,1.6666666666666667,10.4,4.6,1.687434729349072,85.38376037979758,14.5,22.666666666666668
16,Albania,2025-03-21,0.0,3.0,0.0,0.0,31.0,6.0,H,0,0,1.0,6.0,6.0,0.0,1.25,10.4,4.0,1.1249564862327148,96.92250691986506,11.666666666666666,21.111111111111114
17,Albania,2025-06-10,1.0,13.0,3.0,0.0,85.0,25.0,D,0,1,1.0,5.0,7.0,-2.0,1.0,9.0,3.2,0.74997099082181,95.61500461324339,10.25,20.074074074074076
18,Albania,2025-09-09,3.0,13.0,3.0,1.0,74.0,23.0,H,1,0,0.0,3.0,7.0,-4.0,1.0,9.4,2.8,0.4999806605478734,148.74333640882892,13.2,38.38271604938272
19,Albania,2025-11-16,1.0,6.0,3.0,0.0,23.0,9.0,A,0,0,1.0,2.0,5.0,-3.0,0.8,9.0,2.0,1.333320440365249,173.16222427255263,14.0,48.58847736625515
20,Albania,2026-03-26,3.0,8.0,2.0,1.0,37.0,22.0,H,0,0,1.0,2.0,5.0,-3.0,1.0,8.8,2.2,0.8888802935768327,138.44148284836842,13.8,41.392318244170106
21,Algeria,2022-03-25,1.0,5.0,2.0,,39.0,,A,1,0,,,,,,,,,,,
22,Algeria,2022-03-29,3.0,21.0,11.0,1.0,87.0,,A,0,0,,,,,,,,,39.0,,
23,Algeria,2022-06-09,,,,,,,H,1,0,,,,,,,,1.0,113.0,,
24,Algeria,2023-02-04,,17.0,3.0,,71.0,,A,0,0,,,,,,,,0.6666666666666667,75.33333333333334,,
25,Algeria,2023-09-12,,,,,,,A,1,0,,,,,,14.333333333333334,5.333333333333333,0.44444444444444453,121.22222222222223,,
26,Algeria,2025-08-23,1.0,12.0,4.0,1.0,107.0,14.0,H,0,0,3.0,10.0,7.0,3.0,,14.333333333333334,5.333333333333333,0.2962962962962964,80.81481481481482,,
27,Algeria,2025-12-03,1.0,5.0,1.0,,43.0,9.0,D,0,1,2.0,12.0,12.0,0.0,,16.666666666666668,6.0,1.1975308641975309,160.87654320987656,14.0,14.0
28,Algeria,2025-12-09,4.0,14.0,5.0,1.0,97.0,34.0,H,1,0,2.0,11.0,10.0,1.0,,11.333333333333334,2.6666666666666665,0.7983539094650206,150.25102880658437,11.5,18.333333333333336
29,Algeria,2025-12-24,5.0,14.0,7.0,2.0,50.0,28.0,H,1,0,2.0,10.0,10.0,0.0,2.0,12.0,3.25,1.5322359396433471,197.16735253772293,19.0,46.22222222222223
30,Algeria,2026-01-06,,12.0,6.0,,77.0,25.0,H,1,0,3.0,9.0,5.0,4.0,2.75,11.25,4.25,3.021490626428898,181.44490169181532,21.25,58.814814814814824
31,Algeria,2026-03-31,1.0,6.0,0.0,,37.0,13.0,D,0,1,3.0,9.0,5.0,4.0,2.75,11.4,4.6,2.014327084285932,197.96326779454355,22.0,64.20987654320989
32,Algeria,2026-06-03,0.0,8.0,2.0,,51.0,12.0,A,1,0,3.0,6.0,0.0,6.0,2.75,10.2,3.8,1.3428847228572882,168.97551186302906,21.8,55.80658436213993
33,Andorra,2020-11-17,0.0,8.0,4.0,0.0,54.0,,A,0,0,,,,,,,,,,,
34,Andorra,2021-03-31,1.0,4.0,3.0,1.0,48.0,,A,0,0,,,,,,,,0.0,54.0,,
35,Andorra,2021-09-05,0.0,1.0,1.0,0.0,30.0,,H,0,0,,,,,,,,1.0,84.0,,
36,Andorra,2021-09-08,1.0,6.0,2.0,1.0,35.0,,H,0,0,,,,,0.3333333333333333,4.333333333333333,2.6666666666666665,0.6666666666666667,86.0,,
37,Andorra,2021-10-09,0.0,1.0,0.0,0.0,30.0,,A,0,0,,,,,0.5,4.75,2.5,1.4444444444444446,92.33333333333334,,
