Stage,Match_ID,Date,Team1,Team2,Prob_T1,Prob_Draw,Prob_T2,RF_Prob_T1,RF_Prob_Draw,RF_Prob_T2,XGB_Prob_T1,XGB_Prob_Draw,XGB_Prob_T2,ANN_Prob_T1,ANN_Prob_Draw,ANN_Prob_T2,Winner,Loser
Group A,,11.06.2026,Mexico,South Africa,57.0,22.123333333333335,20.876666666666665,53.68000000000001,24.55,21.77,59.81999999999999,22.07,18.11,57.49999999999999,19.75,22.75,Mexico,South Africa
Group A,,12.06.2026,South Korea,Czechia,42.93666666666667,22.399999999999995,34.663333333333334,41.29,21.529999999999998,37.18,43.34,24.82,31.840000000000003,44.18,20.849999999999998,34.97,South Korea,Czechia
Group B,,12.06.2026,Canada,Bosnia,45.51666666666667,22.650000000000002,31.833333333333332,39.56,22.68,37.76,48.38,25.44,26.179999999999996,48.61,19.830000000000002,31.56,Canada,Bosnia
Group D,,13.06.2026,USA,Paraguay,55.04666666666666,22.05,22.903333333333332,56.45,24.69,18.86,54.559999999999995,22.259999999999998,23.18,54.13,19.2,26.669999999999998,USA,Paraguay
Group B,,13.06.2026,Qatar,Switzerland,19.99,20.376666666666665,59.633333333333326,15.310000000000002,19.41,65.28,15.329999999999998,21.560000000000002,63.11,29.330000000000002,20.16,50.51,Switzerland,Qatar
Group C,,14.06.2026,Brazil,Morocco,38.74666666666666,22.643333333333334,38.61000000000001,34.83,25.230000000000004,39.94,36.28,22.96,40.760000000000005,45.129999999999995,19.74,35.13,Morocco,Brazil
Group C,,14.06.2026,Haiti,Scotland,21.576666666666668,20.810000000000002,57.61333333333334,16.89,22.220000000000002,60.89,16.79,20.1,63.11,31.05,20.11,48.84,Scotland,Haiti
Group D,,14.06.2026,Australia,Turkiye,29.596666666666664,23.09,47.31333333333333,28.93,25.0,46.07,32.05,24.38,43.57,27.810000000000002,19.89,52.300000000000004,Turkiye,Australia
Group E,,14.06.2026,Germany,Curacao,60.04,21.930000000000003,18.029999999999998,60.23,23.64,16.13,61.75000000000001,22.12,16.13,58.14,20.03,21.83,Germany,Curacao
Group F,,14.06.2026,Netherlands,Japan,51.52,21.75,26.73,50.99,20.919999999999998,28.09,50.41,24.87,24.72,53.16,19.46,27.38,Netherlands,Japan
Group E,,15.06.2026,Cote Divoire,Ecuador,36.946666666666665,23.246666666666666,39.806666666666665,37.519999999999996,25.979999999999997,36.5,41.15,24.26,34.589999999999996,32.17,19.5,48.33,Cote Divoire,Ecuador
Group F,,15.06.2026,Sweden,Tunisia,62.046666666666674,19.41,18.543333333333333,67.21000000000001,18.18,14.610000000000001,63.43,21.12,15.45,55.50000000000001,18.93,25.569999999999997,Sweden,Tunisia
Group H,,15.06.2026,Spain,Cape Verde,59.93666666666667,21.17,18.89333333333333,61.050000000000004,21.69,17.26,63.71,19.78,16.509999999999998,55.05,22.040000000000003,22.91,Spain,Cape Verde
Group G,,15.06.2026,Belgium,Egypt,53.75666666666667,22.496666666666666,23.746666666666666,52.88,24.709999999999997,22.41,51.449999999999996,23.77,24.779999999999998,56.940000000000005,19.009999999999998,24.05,Belgium,Egypt
Group H,,16.06.2026,Saudi Arabia,Uruguay,21.293333333333333,22.21666666666667,56.49,21.32,23.27,55.410000000000004,19.42,22.509999999999998,58.07,23.14,20.87,55.989999999999995,Uruguay,Saudi Arabia
