match_id,match_date,tournament_name,is_neutral_ground,Home Team,Away Team,home_final_score,away_final_score,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_big_chances_scored,away_big_chances_scored,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_fouled_in_final_third,away_fouled_in_final_third,home_offsides,away_offsides,home_accurate_passes,away_accurate_passes,home_throw-ins,away_throw-ins,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_duels,away_duels,home_dispossessed,away_dispossessed,home_ground_duels,away_ground_duels,home_aerial_duels,away_aerial_duels,home_dribbles,away_dribbles,home_tackles_won,away_tackles_won,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_touches_in_penalty_area,away_touches_in_penalty_area,home_final_third_phase,away_final_third_phase,home_big_saves,away_big_saves,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals,home_punches,away_punches,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_high_claims,away_high_claims,home_penalty_saves,away_penalty_saves,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal,home_goals_prevented,away_goals_prevented
8196197,2019-06-17 23:00:00,"CONCACAF Gold Cup, Group C",0,Curaçao,El Salvador,0,1,59.0,41.0,,,3.0,8.0,4.0,1.0,7.0,4.0,23.0,13.0,,,,,16.0,23.0,3.0,1.0,1.0,5.0,,,2.0,3.0,,,,,,,,,,,,,,,0.0,3.0,,,15.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,7.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
8196202,2019-06-20 23:00:00,"CONCACAF Gold Cup, Group B",0,Nicaragua,Haiti,0,2,68.0,32.0,,,9.0,4.0,2.0,3.0,7.0,2.0,14.0,20.0,,,,,21.0,14.0,2.0,4.0,3.0,3.0,,,6.0,1.0,,,,,,,,,,,,,,,0.0,1.0,,,25.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,11.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
8196205,2019-06-22 01:30:00,"CONCACAF Gold Cup, Group C",0,Honduras,Curaçao,0,1,63.0,37.0,,,24.0,5.0,3.0,13.0,7.0,4.0,8.0,12.0,,,,,12.0,13.0,,,13.0,4.0,,,11.0,1.0,,,,,,,,,,,,,,,5.0,0.0,,,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,4.0,15.0,,,,,,,,,,,,,,,,,,,,,,
8196827,2019-06-25 01:00:00,"CONCACAF Gold Cup, Group B",0,Haiti,Costa Rica,2,1,40.0,60.0,,,10.0,7.0,3.0,4.0,3.0,3.0,15.0,22.0,,,,,27.0,15.0,1.0,2.0,6.0,3.0,,,4.0,4.0,,,,,,,,,,,,,,,0.0,5.0,,,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,10.0,8.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
8196207,2019-06-26 00:00:00,"CONCACAF Gold Cup, Group C",0,Jamaica,Curaçao,1,1,40.0,60.0,,,11.0,7.0,2.0,2.0,7.0,5.0,7.0,11.0,,,,,12.0,8.0,0.0,1.0,3.0,3.0,,,8.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,,17.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,10.0,17.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
8266989,2019-06-29 23:00:00,"CONCACAF Gold Cup, Knockout stage",0,Haiti,Canada,3,2,37.0,63.0,,,11.0,8.0,2.0,1.0,4.0,2.0,15.0,10.0,,,,,11.0,16.0,1.0,1.0,4.0,4.0,,,7.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,,21.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,9.0,9.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
8269762,2019-07-01 00:30:00,"CONCACAF Gold Cup, Knockout stage",0,USA,Curaçao,1,0,48.0,52.0,,,10.0,13.0,3.0,2.0,2.0,6.0,5.0,10.0,,,,,11.0,7.0,0.0,2.0,3.0,6.0,,,7.0,7.0,,,,,,,,,,,,,,,2.0,1.0,,,13.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,9.0,13.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
8274040,2019-07-03 02:30:00,"CONCACAF Gold Cup, Knockout stage",0,Haiti,Mexico,0,1,30.0,70.0,,,8.0,19.0,4.0,2.0,1.0,11.0,17.0,10.0,,,,,12.0,21.0,1.0,2.0,2.0,5.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,2.0,,,29.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,18.0,11.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
9040643,2020-10-08 18:45:00,"Euro, Qualification Playoff",0,Bosnia & Herzegovina,Northern Ireland,4,5,59.0,41.0,2.0,2.0,20.0,13.0,2.0,5.0,9.0,7.0,15.0,18.0,655.0,439.0,12.0,13.0,18.0,15.0,3.0,1.0,6.0,3.0,1.0,0.0,9.0,4.0,5.0,6.0,13.0,9.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,1.0,5.0,550.0,328.0,21.0,26.0,62.0,78.0,44/75 (59),40/95 (42),7/30 (23),6/30 (20),48.0,52.0,4.0,10.0,33/71 (46),38/71 (54),27/55 (49),28/55 (51),7/16 (44),10/12 (83),83.0,69.0,12.0,13.0,8.0,13.0,,,43.0,30.0,2.0,5.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,
8600870,2020-10-10 13:00:00,"UEFA Nations League, League C, Gr. 1",0,Montenegro,Azerbaijan,2,0,44.0,56.0,2.0,0.0,9.0,7.0,0.0,4.0,3.0,4.0,20.0,19.0,333.0,425.0,19.0,28.0,15.0,20.0,2.0,3.0,6.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,230.0,302.0,31.0,37.0,44.0,63.0,19/58 (33),18/59 (31),2/10 (20),4/11 (36),42.0,58.0,14.0,8.0,39/102 (38),63/102 (62),19/35 (54),16/35 (46),7/22 (32),14/25 (56),74.0,71.0,19.0,28.0,16.0,12.0,,,17.0,12.0,0.0,4.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,
